Word,POS Tag,Frequency
ga,PROPN,3
Chat,PROPN,3
resep,NOUN,3
dong,VERB,3
pas,ADV,3
bicara,VERB,3
darurat,ADJ,3
bikin,NOUN,3
senang,VERB,3
dapet,NOUN,3
pasien,NOUN,3
Smoga,PROPN,3
Dapat,ADV,3
sekarang,ADV,3
semoga,CONJ,3
4,NUM,3
oleh,ADP,3
semakin,ADV,3
selama,ADP,3
biaya,NOUN,3
seputar,ADP,3
menggunakan,VERB,3
disini,NOUN,3
sip,PROPN,3
pengalaman,NOUN,3
dokter2,NOUN,3
Pelayanan,NOUN,3
menit,NOUN,3
Di,ADP,3
minta,VERB,3
sering,ADV,3
diri,NOUN,3
melayani,VERB,3
nanya,NOUN,3
sebelum,ADP,3
bgus,PROPN,3
ngasih,VERB,3
Mempermudah,VERB,3
Bintang,NOUN,3
gw,NOUN,3
layanan,NOUN,3
Baguss,PROPN,3
Kalau,CONJ,3
kalo,NOUN,3
Dr,PROPN,3
Karena,CONJ,3
Kecewa,PROPN,3
lengkap,ADJ,3
Hanya,ADV,3
udah,ADV,3
job,PROPN,3
Klik,ADV,3
asli,ADJ,3
jd,NOUN,3
puas,VERB,3
tuk,NOUN,3
utk,ADP,3
pribadi,ADJ,3
ketika,CONJ,3
tepat,ADJ,3
you,PROPN,3
amat,ADV,3
klikdokter,NUM,3
alami,VERB,3
akurat,ADJ,3
Informasi,NOUN,3
',PUNCT,3
kesehatannya,NOUN,3
komunikasi,NOUN,3
amin,PROPN,3
Jadi,CONJ,3
ramah2,PROPN,3
ahlinya,NOUN,3
awal,ADJ,3
artikel,NOUN,3
buat,VERB,3
makasih,NOUN,3
Very,PROPN,3
update,NOUN,3
10,NUM,3
Berguna,VERB,3
Bgus,PROPN,3
spesialis,NOUN,3
tp,NOUN,3
pokok,NOUN,3
saldo,NOUN,3
sakit,NOUN,3
Great,PROPN,3
perlu,VERB,3
Trimakasih,PROPN,3
pasti,ADJ,2
bener,NOUN,2
ap,NOUN,2
antri,NOUN,2
berada,VERB,2
bilang,VERB,2
rekomendasi,NOUN,2
bila,CONJ,2
bingung,VERB,2
benar,ADJ,2
pas,ADJ,2
pergi,VERB,2
bapak,NOUN,2
berbagi,VERB,2
pandemi,NOUN,2
repot,NOUN,2
boro2,NUM,2
Dan,ADP,2
pake,VERB,2
pake,NOUN,2
padahal,CONJ,2
bebas,ADJ,2
repot2,VERB,2
belajar,VERB,2
amal,NOUN,2
rasa,NOUN,2
bermamfaat,NUM,2
apalagi,ADV,2
pertolongan,NOUN,2
bagis,PROPN,2
proses,NOUN,2
baca,VERB,2
puas,ADV,2
pendapat,NOUN,2
berobat,NOUN,2
positif,ADJ,2
pula,ADV,2
pencegahan,NOUN,2
wajib,NOUN,2
betmanfaat,NUM,2
artikelnya,NOUN,2
bgd,NUM,2
artikel2,NOUN,2
perlu,ADV,2
berkembang,VERB,2
Dokternya,NOUN,2
pelayanannya,NOUN,2
beri,VERB,2
pelajari,VERB,2
apps,NOUN,2
biar,NOUN,2
rama,NOUN,2
pnyakit,NOUN,2
thanks,NOUN,2
penyebab2,NOUN,2
perbaiki,NOUN,2
penting,ADJ,2
terasa,VERB,2
bukan,X,2
jg,NOUN,2
like,PROPN,2
jawab,NOUN,2
jaringan,NOUN,2
1,NUM,2
jadwal,NOUN,2
tpi,PROPN,2
it,PROPN,2
m,NOUN,2
macam,NOUN,2
mah,NOUN,2
install,VERB,2
maju,VERB,2
informasinya,NOUN,2
indonesia,PROPN,2
indonesia,NOUN,2
Belum,ADV,2
tp,PROPN,2
mana,CONJ,2
manapun,NOUN,2
